Neuron,FPS,Peak Intensities,Distances,Peak Location (s),Peak Value,Amplitude,FWHM (s),Mean Rise Rate (s^-1),Stdev Mean Rise Rate(s^-1),Peak Rise Rate (s^-1),Mean Fall Rate(s^-1),Stdev Mean Fall Rate(s^-1),Peak Fall Rate (s^-1)
1,1,168.3099,800.7192,75,3.951255,3.79384,6.585366,9.067686,0,9.067686,-2.31383,0,-2.31383
2,1,172.7083,637.1849,66,2.455073,0,2.760452,0,0,1.422903,0,0,-1.63125
3,1,255.6667,621.6129,66,2.171841,1.443233,36.20455,1.173859,1.392444,2.71488,-0.84621,0.466047,-1.30527
4,1,175.3904,656.0825,93,2.934064,1.426487,50.65581,0.473894,0.224287,0.772827,-0.54919,0.227673,-0.93771
5,1,165.2599,673.1721,69,3.288484,0.593596,5.484893,0.240129,0,0.240129,-1.54066,0,-1.54066
6,1,223.3372,536.2297,66,3.27836,2.507932,56.47304,1.389024,1.964546,4.345277,-2.16957,0,-2.16957
7,1,266.715,512.9133,63,3.753309,3.149667,44.7999,2.076146,4.122522,8.259928,-0.53665,0.638393,-1.47231
8,1,260.1449,532.9035,66,3.374601,2.85397,45.51404,1.430835,3.012585,6.814935,-0.4817,0.640835,-1.61519
9,1,120.549,433.4616,63,4.329383,3.755778,7.422785,9.988148,0,9.988148,-1.27919,0,-1.27919
10,1,239.3903,347.9404,63,5.386791,5.992083,103.3496,3.305829,6.569708,13.16037,-0.36243,0.585853,-2.34298
11,1,230.5897,599.8165,63,2.636347,1.925942,6.657432,4.90904,0,4.90904,-0.86879,0,-0.86879
12,1,287.0893,374.0404,63,3.876628,3.942117,33.72711,2.900772,4.961558,8.629885,-0.54404,0.71592,-1.93682
13,1,279.6618,459.5292,63,5.524487,6.246911,61.23093,2.268486,5.538285,13.57346,-0.52011,0.577818,-2.07482
14,1,215.2089,597.8213,63,3.069343,2.667852,32.2251,2.082931,3.572439,6.208028,-0.95197,0.930392,-1.88621
15,1,230.2286,238.9001,63,3.269324,3.203933,20.61836,3.430259,4.776805,6.807971,-0.94641,1.168758,-2.26042
16,1,252.2147,329.2795,63,3.740278,3.404355,36.1046,8.220834,0,8.220834,-0.63017,0.72382,-1.70203
17,1,232.8117,362.4145,63,3.17392,2.913207,29.57083,3.264575,4.606354,6.521759,-0.9364,0.980696,-2.04236
18,1,138.4941,551.9875,66,3.119691,1.591596,6.783556,1.10445,0,1.10445,-3.67034,0,-3.67034
19,1,208.7171,395.0876,63,3.542903,3.164731,31.93695,2.564285,4.385925,7.628709,-0.84498,1.126795,-2.13465
20,1,225.5101,391.5069,63,3.828324,3.66681,27.97645,2.854601,4.876106,8.484971,-1.02079,1.001509,-2.11489
21,1,250.624,426.2828,63,3.47925,3.079155,36.78555,3.724789,5.250919,7.437749,-0.91183,0.741496,-1.62615
22,1,314.4563,445.3227,63,3.190581,3.017692,24.21949,3.292219,4.637949,6.571744,-0.86154,0.816407,-1.67377
23,1,267.8262,338.1629,63,3.984696,4.04863,52.39865,8.954087,0,8.954087,-0.50257,0.708071,-1.99637
