,Live Cytoplasm,Live Nuclei,Dead Cytoplasm,Dead Nuclei
FOV 2 Cell 1,2.583957473,2.491347354,3.32261861,3.023141264
FOV 2 Cell 10,2.751562473,2.377944416,,
FOV 2 Cell 11,2.723943363,2.678249237,,
FOV 2 Cell 12,1.714411191,1.669230944,,
FOV 2 Cell 13,2.501262421,2.565051444,,
FOV 2 Cell 14,1.825194136,1.574916447,,
FOV 2 Cell 15,1.69356262,1.730759709,,
FOV 2 Cell 16,1.9186726,1.903560271,,
FOV 2 Cell 17,2.283532998,2.324382535,,
FOV 2 Cell 18,2.266205395,1.807398846,,
FOV 2 Cell 19,2.838273856,2.701427982,,
FOV 2 Cell 2,2.64731761,2.58808308,2.999830368,2.949509114
FOV 2 Cell 20,2.997586418,2.886317016,,
FOV 2 Cell 3,2.731805852,2.746687144,4.053334551,3.04987263
FOV 2 Cell 4,2.776231835,2.610820001,2.679871949,3.322534759
FOV 2 Cell 5,2.488689311,2.673998299,3.173349679,2.972746275
FOV 2 Cell 6,2.803268299,2.558267068,3.271929556,2.728819537
FOV 2 Cell 7,2.778941823,2.660645341,4.108923144,3.084198537
FOV 2 Cell 8,3.49985208,3.257759738,3.622676561,3.247669244
FOV 2 Cell 9,2.614077705,2.510554457,,
FOV 4 Cell 1,2.221945,1.663397,2.156224,1.090279
FOV 4 Cell 10,1.88428,1.249228,2.931319,1.25376
FOV 4 Cell 11,2.049514,1.877448,2.793372,1.558643
FOV 4 Cell 12,,,2.034618,1.60992
FOV 4 Cell 13,,,2.124595,1.691077
FOV 4 Cell 14,,,2.200731,1.859223
FOV 4 Cell 2,2.233869,2.02456,1.413728,1.537755
FOV 4 Cell 3,2.104994,1.78951,1.4624,1.194191
FOV 4 Cell 4,1.551775,1.828734,1.677598,1.398377
FOV 4 Cell 5,2.543141,2.217115,2.207447,1.712996
FOV 4 Cell 6,2.216024,1.801025,2.089771,1.555687
FOV 4 Cell 7,2.47781,2.331565,2.436358,1.993667
FOV 4 Cell 8,2.694681,2.357571,2.304102,1.773849
FOV 4 Cell 9,1.870587,1.350927,2.54138,1.705341
FOV 5 Cell 1,3.912434,5.388781,1.932849,1.475646
FOV 5 Cell 1.1,1.603582,1.611823,2.033673,1.979734
FOV 5 Cell 10,3.524261,4.300398,2.167435,2.094065
FOV 5 Cell 10.1,2.061661,1.962526,,
FOV 5 Cell 11,3.494605,4.548448,,
FOV 5 Cell 11.1,2.205956,2.1328,,
FOV 5 Cell 12,4.79604,4.623104,,
FOV 5 Cell 12.1,2.390256,2.844601,,
