Neuron,FPS,Peak Intensities,Distances,Peak Location (s),Peak Value,Amplitude,FWHM (s),Mean Rise Rate (s^-1),Stdev Mean Rise Rate(s^-1),Peak Rise Rate (s^-1),Mean Fall Rate(s^-1),Stdev Mean Fall Rate(s^-1),Peak Fall Rate (s^-1),Cell Info,,,,,,,,,
1,1,175.6191,757.5339,75,3.113346,2.788524,59.64287,2.026708,2.263342,4.49444,-0.59655,0.622401,-1.46175,cut: 21,,,,,,,,,
2,1,200.7772,612.4448,66,3.09274,2.635613,35.71632,1.590273,2.316776,4.942731,-1.31592,0.378486,-1.67962,live: 1-12,,,,,,,,,
3,1,208.4241,593.9674,66,2.909438,2.334556,37.03437,1.446465,2.01406,4.30115,-1.05963,0.488341,-1.57973,dead: 13-24,,,,,,,,,
4,1,184.3292,668.5449,75,2.5972,1.903875,32.51982,0.95832,0.656305,1.956814,-0.66142,0.562385,-1.11539,control: 25,,,,,,,,,
5,1,198.5884,638.3205,66,4.073811,3.578195,53.87471,1.865146,3.903451,8.842591,-0.85479,0.568776,-1.57762,,,,,,,,,,
6,1,188.1855,523.6398,66,3.703273,2.899266,56.54815,1.377535,2.078205,4.256602,-0.72359,1.117447,-2.01367,,,,,,,,,,
7,1,284.2208,479.0292,63,3.324732,2.651375,44.22503,2.333104,4.019304,6.974196,-0.43452,0.483522,-1.15111,,,,,,,,,,
8,1,267.1929,537.2621,66,3.149613,2.530111,43.94306,1.299258,2.702379,6.127576,-0.43563,0.551525,-1.24782,,,,,,,,,,
9,1,169.3371,341.5133,63,4.153486,4.043407,32.31504,3.174123,5.444175,9.460457,-0.6904,1.066224,-2.28435,,,,,,,,,,
10,1,261.3142,345.5001,63,4.331957,4.873643,15.40246,5.003278,7.060594,9.995872,-1.54645,1.143568,-2.66862,,,,,,,,,,
11,1,205.0624,611.6474,66,2.745997,2.313833,27.54181,1.325847,2.520144,5.105374,-0.76603,0.959836,-1.87426,,,,,,,,,,
12,1,284.7099,376.6884,63,3.957738,3.907124,51.9186,2.958297,5.122468,8.873213,-0.32951,0.487166,-1.60605,,,,,,,,,,
13,1,246.7744,493.8072,66,4.337585,4.449739,56.42043,1.684082,3.982465,9.811889,-0.41944,0.507264,-1.6534,,,,,,,,,,
14,1,210.7884,608.8452,63,3.295413,2.71597,38.59089,1.418273,3.057062,6.886238,-1.06033,0.793762,-1.62161,,,,,,,,,,
15,1,204.1493,215.5054,63,4.014728,4.07049,24.23471,4.533672,6.378829,9.044185,-0.81106,1.130914,-2.50169,,,,,,,,,,
16,1,243.1436,292.4108,66,4.386369,4.118509,41.24396,3.398753,5.422658,9.65448,-0.5278,0.542068,-1.49082,,,,,,,,,,
17,1,240.6747,341.4177,66,3.704627,3.483553,48.35786,2.040983,4.025332,8.078907,-0.44737,0.603252,-1.67343,,,,,,,,,,
18,1,159.5911,523.3742,66,3.425452,2.585449,50.43863,1.841931,3.057906,6.390116,-0.87345,1.377945,-2.46429,,,,,,,,,,
19,1,240.643,355.5838,66,3.861384,3.533663,36.44362,2.863104,4.819421,8.427404,-0.56628,0.679343,-1.57637,,,,,,,,,,
20,1,244.8821,401.6383,63,3.57522,3.156894,35.49033,2.590793,4.446945,7.725661,-0.49062,0.689323,-1.51782,,,,,,,,,,
21,1,267.6475,408.0803,63,3.421389,2.835759,41.73711,1.828728,3.623647,7.264168,-0.37113,0.476296,-1.20294,,,,,,,,,,
22,1,293.9345,479.9408,63,4.852004,5.053557,28.40888,5.781238,8.166764,11.55601,-0.73052,0.633878,-1.8448,,,,,,,,,,
23,1,286.9928,331.4487,63,3.666259,3.713527,34.54009,2.688565,4.59878,7.998778,-0.52734,0.659234,-1.79571,,,,,,,,,,
24,1,272.9972,477.6037,66,4.680791,4.826887,91.96689,2.763654,5.472974,10.97299,-0.31496,0.368467,-1.44719,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
175.6191,200.7772,208.4241,184.3292,198.5884,188.1855,284.2208,267.1929,169.3371,261.3142,205.0624,284.7099,246.7744,210.7884,204.1493,243.1436,240.6747,159.5911,240.643,244.8821,267.6475,293.9345,286.9928,272.9972
757.5339,612.4448,593.9674,668.5449,638.3205,523.6398,479.0292,537.2621,341.5133,345.5001,611.6474,376.6884,493.8072,608.8452,215.5054,292.4108,341.4177,523.3742,355.5838,401.6383,408.0803,479.9408,331.4487,477.6037
,,,,,,,,,,,,,,,,,,,,,,,
1.076824,1.154532,1.130299,1.138152,1.254192,1.198587,1.155545,1.132532,1.254154,1.232105,1.186975,1.204312,1.177553,1.090673,1.221821,1.175804,1.185768,1.205446,1.18536,1.172199,1.163792,1.185695,1.221832,1.219072
1.098136,1.140362,1.125455,1.122867,1.172489,1.191279,1.137131,1.135206,1.220862,1.201333,1.170779,1.184661,1.164925,1.106008,1.223707,1.166565,1.1848,1.19885,1.176783,1.174185,1.166764,1.178365,1.192932,1.197641
1.066053,1.114467,1.097099,1.105873,1.121417,1.139969,1.113247,1.106818,1.19954,1.180457,1.131924,1.173076,1.148378,1.069428,1.200956,1.144335,1.180886,1.16479,1.150488,1.150718,1.142819,1.154903,1.170605,1.164543
1.032677,1.102973,1.108905,1.081797,1.089577,1.113793,1.098403,1.090385,1.203097,1.15283,1.098444,1.150825,1.133339,1.058353,1.187146,1.128116,1.140939,1.141544,1.137383,1.13939,1.113821,1.136665,1.15381,1.149732
1.045246,1.0837,1.076701,1.063862,1.089533,1.10751,1.092178,1.09054,1.1548,1.141394,1.120143,1.138446,1.130943,1.058088,1.169038,1.119467,1.125867,1.148713,1.121868,1.124145,1.105217,1.12293,1.1321,1.136185
1.02941,1.083809,1.082193,1.056766,1.063192,1.099833,1.071491,1.077891,1.164269,1.139613,1.091742,1.12738,1.115676,1.053615,1.1623,1.103385,1.11976,1.133219,1.102047,1.114843,1.098431,1.107341,1.118243,1.122392
1.013565,1.079524,1.04708,1.053926,1.042029,1.075232,1.058565,1.060721,1.143164,1.114915,1.07544,1.110814,1.095036,1.015939,1.116094,1.094987,1.101828,1.138679,1.072752,1.096431,1.068074,1.101156,1.097623,1.096625
1.02557,1.066353,1.04659,1.036932,1.055405,1.055672,1.053361,1.044937,1.13108,1.095522,1.055708,1.125693,1.076455,1.013709,1.133203,1.079437,1.091963,1.107156,1.090042,1.082823,1.064849,1.082683,1.102195,1.107144
1.021657,1.039686,1.023744,1.03806,1.031247,1.069431,1.043648,1.033923,1.122733,1.089689,1.030332,1.102511,1.085111,0.998203,1.093557,1.064032,1.081088,1.153625,1.06043,1.055404,1.051231,1.061017,1.077869,1.079107
1.015087,1.040093,1.028607,1.036627,1.035359,1.068225,1.039213,1.026598,1.118546,1.069558,1.052795,1.07846,1.05869,0.982116,1.090113,1.060633,1.064989,1.092217,1.066023,1.05628,1.048055,1.07377,1.087508,1.067618
1.000533,1.043222,1.02429,1.051114,1.006842,1.031613,1.021844,1.011683,1.076941,1.060716,1.024513,1.061042,1.040457,0.961142,1.097048,1.052479,1.056067,1.069934,1.051956,1.040503,1.028776,1.05284,1.062571,1.065225
1.017439,1.01463,1.025924,1.073254,1.02931,1.040593,1.023596,1.020333,1.09091,1.047629,1.021106,1.052345,1.030788,0.954491,1.076684,1.037509,1.049541,1.062354,1.036986,1.028218,1.032232,1.055054,1.054004,1.064555
1.000374,1.006179,0.998562,1.018767,1.011097,1.008634,1.015324,1.003791,1.056221,1.030671,0.999886,1.039139,1.0176,0.946847,1.042827,1.021832,1.032676,1.043769,1.015897,1.033156,1.021313,1.027734,1.027804,1.045195
0.986653,0.985908,0.99884,0.994111,0.991879,0.991785,1.007616,0.997123,1.021742,1.022923,1.004743,1.025163,1.006294,0.945045,1.031805,1.018223,1.022351,1.034525,1.014111,1.035202,1.01005,1.031547,1.01767,1.040584
1.010181,1.000576,1.008965,1.000296,0.994916,0.996662,1.008482,1.00743,1.023223,1.024268,1.000177,1.019663,1.009885,0.947987,1.021173,1.016028,1.05298,1.023439,1.019325,1.028329,1.008808,1.008649,1.021894,1.030024
0.981395,0.994502,1.010066,0.996246,1.021338,1.001809,1.013393,1.010884,1.029347,1.016601,0.994441,1.019993,1.020509,0.935492,1.026724,1.018198,1.01394,1.020078,1.014634,1.008641,1.012547,1.020171,1.007415,1.030934
1.022845,1.024293,1.011971,1.00616,1.020943,1.004365,1.010873,1.014568,1.022766,1.025329,1.000044,1.020221,1.020923,0.942042,1.035394,1.013785,1.030098,1.036629,1.014345,1.012103,1.005835,1.015974,1.018017,1.023822
1.005166,0.992615,0.991861,1.009719,1.026251,1.002349,1.000282,0.994371,1.008298,1.014294,1.00731,1.009876,1.017231,0.938175,1.025658,1.003218,1.030622,1.020799,1.00285,1.011352,1.007719,1.010341,1.014223,1.021384
0.978775,1.012516,1.00248,1.009395,1.020553,0.977589,1.003743,0.987866,1.026465,1.004762,0.978201,1.005493,0.993402,0.938241,1.00381,0.995832,1.008723,0.994547,1.000686,0.996465,0.996583,1.00494,1.00656,1.00556
1.007361,0.992277,0.991438,0.998889,1.009366,1.016806,1.000356,0.988191,0.99753,0.996439,0.985108,1.005364,1.009352,0.95812,0.99228,0.987616,1.000353,1.008452,0.998279,0.98789,0.988708,1.007094,0.988297,1.008731
