FOV 5 Cell 1,FOV 5 Cell 2,FOV 5 Cell 3,FOV 5 Cell 4,FOV 5 Cell 5,FOV 5 Cell 6,FOV 6 Cell 1,FOV 6 Cell 2,FOV 6 Cell 3,FOV 6 Cell 4,FOV 6 Cell 5,FOV 7 Cell 1,FOV 7 Cell 2,FOV 7 Cell 3,FOV 7 Cell 4,FOV 7 Cell 5,FOV 7 Cell 6,FOV 8 Cell 1,FOV 8 Cell 2,FOV 8 Cell 3,FOV 8 Cell 4,FOV 8 Cell 5,FOV 8 Cell 6,FOV 8 Cell 7,FOV 8 Cell 8,FOV 8 Cell 9,FOV 8 Cell 10,FOV 8 Cell 11,FOV 8 Cell 12,FOV 2 Cell 1,FOV 2 Cell 2,FOV 2 Cell 3,FOV 2 Cell 4,FOV 2 Cell 5,FOV 2 Cell 6,FOV 2 Cell 7,FOV 2 Cell 8,FOV 4 Cell 1,FOV 4 Cell 2,FOV 4 Cell 3,FOV 4 Cell 4,FOV 4 Cell 5,FOV 4 Cell 6,FOV 4 Cell 7,FOV 4 Cell 8,FOV 4 Cell 9,FOV 4 Cell 10,FOV 4 Cell 11,FOV 4 Cell 12,FOV 4 Cell 13,FOV 4 Cell 14,FOV 5 Cell 1,FOV 5 Cell 2,FOV 5 Cell 3,FOV 5 Cell 4,FOV 5 Cell 5,FOV 5 Cell 6,FOV 5 Cell 7,FOV 5 Cell 8,FOV 5 Cell 9,FOV 5 Cell 10
1.532232,1.690777,1.59798,1.530269,1.51192,1.503827,1.207059,1.119118,1.155801,1.200768,1.167099,1.140514,1.174014,1.199335,1.242437,1.135157,1.137525,1.177553,1.090673,1.221821,1.175804,1.185768,1.205446,1.18536,1.172199,1.163792,1.185695,1.221832,1.219072,1.054492082,1.012217894,1.070123902,1.058808093,0.98199701,0.979504511,1.029230642,1.061890059,1.135903,1.087051,1.064353,1.118331,1.093775,1.103534,1.091709,1.105066,1.219241,1.122939,1.126386,0.978424,1.098483,1.092614,1.254012,1.210503,1.216128,1.317728,1.361964,1.242519,1.225395,1.273891,1.217303,1.299178
1.509938,1.623362,1.537608,1.475547,1.463821,1.460082,1.176292,1.114195,1.137218,1.167953,1.152541,1.116534,1.159502,1.160845,1.204595,1.096462,1.090919,1.164925,1.106008,1.223707,1.166565,1.1848,1.19885,1.176783,1.174185,1.166764,1.178365,1.192932,1.197641,1.054710965,1.036393124,1.075388077,1.063634733,1.022136758,1.013845003,1.020714999,1.076297088,1.082244,1.05741,1.023513,1.101883,1.057026,1.068809,1.081601,0.983206,1.152667,1.110439,1.104428,0.959767,1.069693,1.073453,1.202359,1.176749,1.212236,1.286038,1.324732,1.204391,1.201118,1.248889,1.181961,1.170082
1.45503,1.574769,1.476741,1.44515,1.446284,1.428574,1.161713,1.099203,1.121524,1.133886,1.136432,1.112789,1.165584,1.154709,1.206108,1.103901,1.12742,1.148378,1.069428,1.200956,1.144335,1.180886,1.16479,1.150488,1.150718,1.142819,1.154903,1.170605,1.164543,1.040738889,1.083746887,1.074316526,1.08814668,1.162990057,1.002532081,1.028468828,1.05308619,1.069986,1.019988,1.001918,1.088674,1.080819,1.063817,1.293915,1.01728,1.111481,1.089796,1.094542,0.948459,1.065042,1.057993,1.205746,1.196858,1.193404,1.275586,1.296933,1.173428,1.183302,1.214115,1.161501,1.111485
1.446458,1.567848,1.437273,1.422921,1.430048,1.432606,1.137653,1.097817,1.094673,1.125055,1.121118,1.077369,1.109658,1.122347,1.165016,1.06693,1.083809,1.133339,1.058353,1.187146,1.128116,1.140939,1.141544,1.137383,1.13939,1.113821,1.136665,1.15381,1.149732,1.039101447,1.133917437,1.058575069,1.177165157,0.990722773,0.982157359,1.027778013,1.024811207,1.102934,1.044113,1.037245,1.049036,1.094318,1.124442,1.388378,0.995382,1.087112,1.1362,1.147893,0.960225,1.058188,1.068936,1.165915,1.17002,1.196578,1.216376,1.277414,1.159164,1.165121,1.198255,1.123049,1.100933
1.405903,1.588394,1.420463,1.368588,1.406817,1.386771,1.12155,1.076813,1.077241,1.082886,1.106852,1.073984,1.110073,1.101834,1.137436,1.064889,1.06912,1.130943,1.058088,1.169038,1.119467,1.125867,1.148713,1.121868,1.124145,1.105217,1.12293,1.1321,1.136185,1.092908089,1.092570686,1.032564422,1.161020157,1.021853927,0.997659647,1.049957276,1.034782969,1.100653,1.039171,1.051082,1.002747,1.062545,1.058981,1.111344,0.984642,1.120666,1.105984,1.092525,0.972187,1.066479,1.053477,1.152701,1.149664,1.092728,1.190418,1.249748,1.125342,1.169474,1.177634,1.099144,1.063036
1.398875,1.646933,1.39144,1.3304,1.366133,1.354044,1.1105,1.081994,1.064135,1.080058,1.095862,1.064983,1.08311,1.091227,1.143602,1.075604,1.063897,1.115676,1.053615,1.1623,1.103385,1.11976,1.133219,1.102047,1.114843,1.098431,1.107341,1.118243,1.122392,1.023023822,1.01210196,0.988939491,1.070295035,1.047107251,0.951504893,0.996003194,1.005130368,1.072141,1.041688,1.017132,1.018638,1.049855,1.060449,1.051855,0.982083,1.093553,1.070939,1.060647,1.144072,1.060529,1.076719,1.144556,1.096537,1.09233,1.158659,1.226465,1.124495,1.13227,1.207897,1.071902,1.049147
1.370007,1.561984,1.375424,1.336785,1.355265,1.322104,1.114881,1.073602,1.051367,1.060114,1.084381,1.046005,1.084251,1.084541,1.109125,1.036656,1.024774,1.095036,1.015939,1.116094,1.094987,1.101828,1.138679,1.072752,1.096431,1.068074,1.101156,1.097623,1.096625,1.038792374,1.003135853,1.033881033,1.036271261,0.928550006,0.984599056,1.06837641,1.025758413,1.057042,1.025362,0.964305,0.960171,1.037344,1.065598,1.037603,0.93981,1.067609,1.048574,1.038645,0.942965,1.027661,1.025158,1.118218,1.071462,1.079355,1.150866,1.182392,1.087,1.139212,1.155873,1.036892,1.026359
1.350644,1.513144,1.362113,1.323816,1.330193,1.292933,1.087103,1.059036,1.064551,1.063825,1.074166,1.045021,1.073672,1.087203,1.101882,1.048204,1.058345,1.076455,1.013709,1.133203,1.079437,1.091963,1.107156,1.090042,1.082823,1.064849,1.082683,1.102195,1.107144,1.06773265,1.012083868,1.019779076,1.024909325,1.064392861,0.996142168,1.095229226,1.026743196,1.040419,0.997893,1.002855,1.01121,1.044364,1.012056,1.022394,0.960059,1.089596,1.027231,1.036186,0.931027,1.010131,1.026518,1.073657,1.042647,1.058415,1.130748,1.131661,1.047644,1.084478,1.129137,1.022427,0.988063
1.328764,1.399345,1.350467,1.281149,1.30578,1.279373,1.081994,1.058295,1.052611,1.046809,1.056836,1.029351,1.060234,1.063548,1.09714,1.038946,1.042534,1.085111,0.998203,1.093557,1.064032,1.081088,1.153625,1.06043,1.055404,1.051231,1.061017,1.077869,1.079107,1.040704531,0.980685025,0.997263829,1.00311259,1.081832726,1.089302819,1.05588853,1.009886588,1.038945,0.999488,1.006545,1.053957,1.051742,1.036124,1.011189,0.934704,1.09116,1.019906,1.025917,0.91431,1.005636,1.028265,1.103243,1.056395,1.029422,1.11752,1.161855,1.043149,1.11962,1.138369,1.013651,1.013821
1.295734,1.350208,1.310453,1.244452,1.287451,1.277286,1.076135,1.043545,1.04126,1.027851,1.051922,1.036372,1.05161,1.159974,1.070998,1.005352,1.008802,1.05869,0.982116,1.090113,1.060633,1.064989,1.092217,1.066023,1.05628,1.048055,1.07377,1.087508,1.067618,1,1,1,1,1,1,1,1,1.033357,1.014503,0.99768,1.06016,1.020778,1.04196,0.994044,0.925626,1.060689,1.006574,1.008608,0.90473,1.013465,0.991692,1.089786,1.04626,1.060749,1.123801,1.116813,1.029767,1.07112,1.13147,1.002703,1.035045
