FOV 5 Cell 1,FOV 5 Cell 2,FOV 5 Cell 3,FOV 5 Cell 4,FOV 5 Cell 5,FOV 5 Cell 6,FOV 5 Cell 7,FOV 5 Cell 8,FOV 5 Cell 9,FOV 5 Cell 10,FOV 5 Cell 11,FOV 5 Cell 12,FOV 5 Cell 13,FOV 5 Cell 14,FOV 5 Cell 15,FOV 5 Cell 16,FOV 5 Cell 17,FOV 5 Cell 18,FOV 5 Cell 19,FOV 5 Cell 20,FOV 5 Cell 21,FOV 5 Cell 22,FOV 5 Cell 23,FOV 5 Cell 24,FOV 5 Cell 25,FOV 5 Cell 26,FOV 5 Cell 27,FOV 6 Cell 1,FOV 6 Cell 2,FOV 6 Cell 3,FOV 6 Cell 4,FOV 6 Cell 5,FOV 6 Cell 6,FOV 6 Cell 7,FOV 6 Cell 8,FOV 6 Cell 9,FOV 6 Cell 10,FOV 6 Cell 11,FOV 6 Cell 12,FOV 6 Cell 13,FOV 6 Cell 14,FOV 6 Cell 15,FOV 6 Cell 16,FOV 6 Cell 17,FOV 6 Cell 18,FOV 7 Cell 1,FOV 7 Cell 2,FOV 7 Cell 3,FOV 7 Cell 4,FOV 7 Cell 5,FOV 7 Cell 6,FOV 7 Cell 7,FOV 7 Cell 8,FOV 7 Cell 9,FOV 7 Cell 10,FOV 7 Cell 11,FOV 7 Cell 12,FOV 7 Cell 13,FOV 7 Cell 14,FOV 7 Cell 15,FOV 7 Cell 16,FOV 7 Cell 17,FOV 7 Cell 18,FOV 7 Cell 19,FOV 7 Cell 20,FOV 7 Cell 21,FOV 7 Cell 22,FOV 7 Cell 23,FOV 7 Cell 24,FOV 7 Cell 25,FOV 7 Cell 26,FOV 7 Cell 27,FOV 7 Cell 28,FOV 7 Cell 29,FOV 7 Cell 30,FOV 7 Cell 31,FOV 7 Cell 32,FOV 7 Cell 33,FOV 7 Cell 34,FOV 7 Cell 35,FOV 7 Cell 36,FOV 7 Cell 37,FOV 7 Cell 38,FOV 7 Cell 39,FOV 8 Cell 1,FOV 8 Cell 2,FOV 8 Cell 3,FOV 8 Cell 4,FOV 8 Cell 5,FOV 8 Cell 6,FOV 8 Cell 7,FOV 8 Cell 8,FOV 8 Cell 9,FOV 8 Cell 10,FOV 8 Cell 11,FOV 8 Cell 12,FOV 2 Cell 1,FOV 2 Cell 2,FOV 2 Cell 3,FOV 2 Cell 4,FOV 2 Cell 5,FOV 2 Cell 6,FOV 2 Cell 7,FOV 2 Cell 8,FOV 2 Cell 9,FOV 2 Cell 10,FOV 2 Cell 11,FOV 2 Cell 12,FOV 2 Cell 13,FOV 2 Cell 14,FOV 2 Cell 15,FOV 2 Cell 16,FOV 2 Cell 17,FOV 2 Cell 18,FOV 2 Cell 19,FOV 2 Cell 20,FOV 4 Cell 1,FOV 4 Cell 2,FOV 4 Cell 3,FOV 4 Cell 4,FOV 4 Cell 5,FOV 4 Cell 6,FOV 4 Cell 7,FOV 4 Cell 8,FOV 4 Cell 9,FOV 4 Cell 10,FOV 4 Cell 11,FOV 5 Cell 1,FOV 5 Cell 2,FOV 5 Cell 3,FOV 5 Cell 4,FOV 5 Cell 5,FOV 5 Cell 6,FOV 5 Cell 7,FOV 5 Cell 8,FOV 5 Cell 9,FOV 5 Cell 10,FOV 5 Cell 11,FOV 5 Cell 12,FOV 5 Cell 13,FOV 5 Cell 14,FOV 5 Cell 15
1.302854,1.310878,1.403081,1.291328,1.649069,1.40793,1.347945,1.64825,1.390601,1.324307,1.495151,1.417883,1.641361,1.408552,1.526764,1.495508,1.402317,1.426463,1.424394,1.380023,1.824559,1.352768,1.540634,1.587732,1.55631,1.372434,1.598532,1.071424,1.17318,1.144594,1.090374,1.133165,1.206313,1.151538,1.146858,1.27041,1.176955,1.182109,1.13806,1.123906,1.195313,1.122,1.114658,0.949749,0.992203,1.113206,1.32526,1.258604,1.049647,1.014807,1.057435,1.0462,0.946395,1.131123,1.08393,1.139048,1.146057,1.123904,1.151281,1.174166,1.185392,1.186444,1.150701,1.176492,1.176686,1.142973,1.115489,1.212006,1.168978,1.132288,1.18435,1.209941,1.329585,1.148224,1.177693,1.237237,1.223535,1.288977,1.259147,1.23012,1.294874,1.106585,1.139218,1.000713,1.076824,1.154532,1.130299,1.138152,1.254192,1.198587,1.155545,1.132532,1.254154,1.232105,1.186975,1.204312,1.014607216,1.032469687,1.00330218,1.027482205,1.041785096,1.032560611,1.062685773,1.509553413,1.078665063,1.063578939,1.045421439,1.011216486,0.781805095,1.017573934,1.105063721,1.04440639,0.952891636,0.937130854,1.023542105,1.005517246,1.121952,1.119229,1.218382,1.156542,1.09448,1.093519,1.100996,1.114927,1.01763,1.035177,1.134561,1.114035,1.294116,1.200774,1.222662,1.19595,1.234748,1.1547,1.256035,1.19952,1.188354,1.197421,1.152118,1.353563,1.318659,1.317078
1.279424,1.291723,1.391379,1.311236,1.614203,1.382456,1.345115,1.568152,1.343551,1.290892,1.524229,1.445229,1.519663,1.374472,1.468319,1.450722,1.400217,1.404641,1.375656,1.347685,1.801607,1.313198,1.614015,1.490194,1.423395,1.315252,1.564488,1.065042,1.156859,1.114476,1.085645,1.09633,1.191287,1.140076,1.130414,1.247298,1.172345,1.168809,1.131099,1.104786,1.167629,1.099335,1.11514,0.941744,0.974623,1.117001,1.288044,1.225133,1.035099,1.002099,1.062481,1.043153,0.929271,1.461344,1.069473,1.111318,1.091686,1.09899,1.112953,1.148298,1.164404,1.140496,1.114145,1.161521,1.163584,1.112498,1.10764,1.189813,1.172169,1.131501,1.152157,1.18132,1.303216,1.110552,1.158171,1.232705,1.199574,1.241391,1.232218,1.202887,1.262775,1.09451,1.130177,0.996341,1.098136,1.140362,1.125455,1.122867,1.172489,1.191279,1.137131,1.135206,1.220862,1.201333,1.170779,1.184661,1.039433786,1.042495491,1.026259121,1.046757852,1.059471163,1.028378594,1.019760871,1.320320906,1.068362054,1.063908428,1.051840559,1.015473497,0.771233844,1.020544438,1.055129958,1.060399615,0.955293616,0.939435003,1.060858033,1.050897358,1.08563,1.093479,1.188982,1.095361,1.065287,1.103157,1.071294,1.041784,0.958026,1.043145,1.097114,1.102554,1.302615,1.158463,1.185516,1.156748,1.178807,1.123323,1.112805,1.158745,1.159407,1.175605,1.091357,1.29778,1.296391,1.270786
1.245584,1.278566,1.390445,3.436702,1.557528,1.390065,1.340828,1.53176,1.310347,1.351892,1.544517,1.673032,1.491866,1.328228,1.423161,1.416179,1.568751,1.632733,1.349732,1.384068,1.701868,1.295,1.567323,1.476891,1.376246,1.280267,1.469482,1.074126,1.142041,1.127868,1.072665,1.126248,1.170011,1.152656,1.111143,1.236674,1.201751,1.17148,1.1219,1.112362,1.156515,1.099716,1.105825,0.943717,1.006343,1.113706,1.292064,1.203664,1.035759,1.019602,1.043865,1.090338,1.040813,1.242886,1.066672,1.096364,1.091766,1.091193,1.113793,1.175972,1.163102,1.136946,1.126404,1.140505,1.142472,1.127419,1.11295,1.186212,1.153085,1.141271,1.138212,1.177007,1.262308,1.105378,1.161726,1.225597,1.193185,1.22927,1.246015,1.205759,1.257455,1.099008,1.11736,1.01691,1.066053,1.114467,1.097099,1.105873,1.121417,1.139969,1.113247,1.106818,1.19954,1.180457,1.131924,1.173076,1.025051365,1.017717393,1.016147157,1.038637767,1.026255075,1.007377779,0.979264977,1.079075968,1.056300403,1.055398039,1.035499577,0.99608749,0.747894103,1.009706973,1.011394869,1.049569321,1.060319743,1.040829455,1.043936369,1.043380111,1.053381,1.079168,1.139381,1.054439,1.028058,1.041162,1.040636,1.041058,0.954959,1.009313,1.091896,1.090369,1.273721,1.155396,1.164338,1.171744,1.201857,1.121282,1.232089,1.180447,1.186013,1.172831,1.055414,1.27554,1.271767,1.26654
1.245472,1.263151,1.379284,2.622135,1.587788,1.383116,1.300056,1.495251,1.290099,1.355149,1.51373,1.655948,1.499459,1.319816,1.452081,1.412651,1.571713,1.805694,1.345978,1.395805,1.566116,1.274852,1.428273,1.43485,1.366887,1.260922,1.446971,1.075676,1.143286,1.106646,1.066879,1.091036,1.180762,1.130265,1.17176,1.235781,1.669043,1.148148,1.119503,1.089376,1.147096,1.077107,1.105891,0.951024,0.98551,1.071699,1.23607,1.168038,0.993894,1.017588,1.025019,1.061146,1.595815,1.114876,1.052292,1.058916,1.069115,1.069083,1.089438,1.136011,1.119466,1.115212,1.125494,1.102331,1.125823,1.089539,1.046996,1.16066,1.130093,1.145383,1.108252,1.151198,1.210588,1.092261,1.116076,1.160289,1.155407,1.207121,1.187997,1.174018,1.213941,1.070508,1.084624,1.050411,1.032677,1.102973,1.108905,1.081797,1.089577,1.113793,1.098403,1.090385,1.203097,1.15283,1.098444,1.150825,1.015092047,1.018833051,1.005977548,1.016880956,1.031684873,1.01910726,0.976915198,0.961888831,1.04567046,1.05113641,1.034006123,0.994552686,0.763690837,0.99827117,1.050575884,1.032118318,0.984413388,0.996985336,1.063707765,0.957993945,1.070594,1.095771,1.116162,1.071202,1.057161,1.135193,1.057082,1.095043,1.011106,1.019324,1.155177,1.053954,1.222305,1.144404,1.136604,1.092743,1.162502,1.105376,1.102151,1.126112,1.115279,1.144605,0.953641,1.225131,1.22866,1.223468
1.215187,1.228367,1.342764,1.909348,1.515877,1.324621,1.303811,1.428408,1.257854,1.297715,1.473102,1.575175,1.466018,1.275438,1.462271,1.363949,1.503843,1.686008,1.308544,1.330282,1.427572,1.254116,1.398059,1.383987,1.330069,1.243429,1.47076,1.05262,1.12017,1.10159,1.049302,1.09884,1.160175,1.103532,1.222506,1.226637,1.813977,1.146196,1.093437,1.079946,1.104427,1.061466,1.089839,0.928585,0.966486,1.077639,1.211291,1.154359,0.990065,1.015467,1.024431,1.017954,1.039288,1.162265,1.020855,1.063139,1.065436,1.058539,1.082007,1.134929,1.117415,1.133506,1.118585,1.104303,1.096875,1.093753,1.077564,1.148895,1.114295,1.178706,1.107811,1.134501,1.195183,1.100719,1.104472,1.135216,1.13925,1.192177,1.190528,1.139821,1.1862,1.05246,1.07414,1.290538,1.045246,1.0837,1.076701,1.063862,1.089533,1.10751,1.092178,1.09054,1.1548,1.141394,1.120143,1.138446,1.014156573,1.028114905,0.998440494,1.021055474,1.057307481,1.033189943,0.992105228,1.041539243,1.058103721,1.051483641,1.028139086,1.004034471,0.786212354,1.01350292,1.044254151,1.028635428,0.894237526,0.883917284,1.071337331,1.078992122,1.085327,1.089584,1.126646,1.059955,1.074192,1.131322,1.05785,1.19116,1.06434,1.043505,1.202257,1.037091,1.151985,1.138466,1.118296,1.107791,1.141916,1.092284,1.125198,1.134629,1.159191,1.120406,0.912011,1.217234,1.223827,1.192219
1.191504,1.213095,1.332916,1.551267,1.484272,1.306163,1.299775,1.382112,1.239728,1.299639,1.480968,1.515788,1.41533,1.24935,1.36841,1.340164,1.437805,1.623741,1.291292,1.253505,1.378848,1.225164,1.345874,1.336206,1.296197,1.198396,1.415588,1.045751,1.116488,1.086289,1.042258,1.078673,1.153256,1.14241,1.256977,1.214412,1.729382,1.132986,1.098687,1.07075,1.114218,1.059224,1.094339,0.945759,1.000405,1.063472,1.190984,1.148902,1.009059,0.981788,1.011392,0.999456,0.937402,1.306077,1.029838,1.066894,1.057105,1.069625,1.08345,1.107013,1.118009,1.122815,1.092319,1.091534,1.09177,1.092487,1.052703,1.139615,1.115374,1.287038,1.09449,1.126742,1.171363,1.121982,1.092507,1.135429,1.116129,1.180366,1.179821,1.144013,1.162661,1.052021,1.068985,1.267722,1.02941,1.083809,1.082193,1.056766,1.063192,1.099833,1.071491,1.077891,1.164269,1.139613,1.091742,1.12738,0.997553721,1.000030543,0.987673086,0.990960798,0.993577263,0.982437346,0.966872416,1.091667562,1.01762652,1.01935127,1.011960274,0.983164076,0.790204023,0.974396951,1.015982583,1.00444779,1.017841719,0.912550584,1.006009715,0.97441113,1.044903,1.066328,1.08737,1.05119,1.041738,1.075036,1.056688,1.177705,1.098958,1.05974,1.217518,1.065609,1.157535,1.100963,1.197904,1.092758,1.113678,1.13848,1.173244,1.111062,1.221711,1.142191,0.904299,1.192762,1.225719,1.208977
1.201042,1.228648,1.351972,1.431926,1.467101,1.279767,1.295383,1.391309,1.232846,1.320209,1.451076,1.480813,1.373965,1.250562,1.289673,1.328569,1.427194,1.527045,1.293008,1.268131,1.337357,1.229566,1.37841,1.324002,1.310178,1.203202,1.409827,1.024785,1.086111,1.063315,1.027636,1.04328,1.115873,1.090683,1.222814,1.180495,1.584707,1.119404,1.079654,1.069471,1.102706,1.04044,1.069195,0.926444,0.971316,1.054651,1.16273,1.100099,0.978366,0.974083,0.994143,0.963526,0.858933,1.034339,1.001794,1.031643,1.025327,1.046864,1.056255,1.082921,1.090246,1.082097,1.054668,1.070047,1.059186,1.042674,1.023628,1.10542,1.079897,1.574625,1.06056,1.091533,1.135845,1.143496,1.085392,1.110465,1.114914,1.12187,1.144839,1.113911,1.126684,1.041459,1.027953,1.076213,1.013565,1.079524,1.04708,1.053926,1.042029,1.075232,1.058565,1.060721,1.143164,1.114915,1.07544,1.110814,1.014508866,1.008684442,1.004103682,1.00896863,1.019473523,1.005146122,0.952917276,1.335104101,1.035788567,1.037942364,1.037164782,0.999800122,0.918532057,1.009134457,1.071876539,1.020066696,0.951933981,0.95561259,1.03872237,1.032550131,1.031008,1.038192,1.055309,1.015236,1.021263,1.053591,1.031701,1.067559,1.020435,1.017894,1.208935,1.052422,1.110904,1.080575,1.073861,1.094764,1.093329,1.08284,1.06325,1.094246,1.057866,1.102516,0.831507,1.134001,1.154832,1.160502
1.190224,1.19788,1.313678,1.328992,1.485218,1.256573,1.27352,1.333793,1.21449,1.344249,1.434696,1.403649,1.309464,1.230681,1.320748,1.287027,1.363426,1.441225,1.241969,1.230168,1.292937,1.19471,1.353153,1.301105,1.277366,1.242198,1.340071,1.042318,1.086385,1.065566,1.022332,1.068012,1.106861,1.104583,1.236531,1.16553,1.402685,1.120053,1.079306,1.074616,1.098349,1.034314,1.059543,0.929041,0.979258,1.06678,1.164861,1.127867,0.997299,1.018693,1.011623,0.986231,0.873976,1.014285,1.022322,1.036406,1.048396,1.054373,1.054298,1.058721,1.105414,1.077231,1.065686,1.076057,1.073888,1.05652,1.062276,1.113278,1.087877,1.491868,1.072447,1.103159,1.145471,1.215751,1.103277,1.106922,1.107126,1.136439,1.154586,1.103611,1.167165,1.032121,1.065648,0.993277,1.02557,1.066353,1.04659,1.036932,1.055405,1.055672,1.053361,1.044937,1.13108,1.095522,1.055708,1.125693,1.008572831,1.026595628,1.019377257,1.014358629,1.036557425,1.024441224,1.010654252,1.348707552,1.036107063,1.049356863,1.036659764,1.017577684,1.098463701,1.018002376,1.078318346,1.033121841,0.896491111,0.894772235,1.04776406,1.032860649,1.037937,1.037298,1.046455,1.016394,1.005529,1.05403,1.011247,1.172756,0.978052,1.070169,1.16113,0.942159,1.079683,1.047566,1.040247,1.04411,1.061229,1.036487,1.057304,1.063475,1.068337,1.037065,0.813708,1.134005,1.119822,1.110025
1.171663,1.208228,1.289307,1.27533,1.393103,1.244837,1.249855,1.318243,1.197895,1.37297,1.44628,1.392816,1.300676,1.212964,1.40639,1.283377,1.344593,1.399426,1.280996,1.209371,1.265524,1.184473,1.332734,1.310714,1.236052,1.238605,1.322878,1.043292,1.090689,1.076177,1.008202,1.04823,1.113633,1.091035,1.184409,1.137488,1.261911,1.11129,1.074111,1.072516,1.085117,1.027671,1.047433,0.935893,0.979719,1.049881,1.139921,1.104575,0.993938,1.011552,1.016358,0.981764,0.887745,0.983079,1.014254,1.03771,1.040073,1.031833,1.052992,1.052147,1.091464,1.062754,1.057693,1.070752,1.057941,1.038182,1.031335,1.093456,1.056608,1.350774,1.065055,1.100564,1.08635,1.211977,1.075211,1.099734,1.080616,1.111049,1.150617,1.078837,1.111612,1.035987,1.052997,0.920107,1.021657,1.039686,1.023744,1.03806,1.031247,1.069431,1.043648,1.033923,1.122733,1.089689,1.030332,1.102511,1.022871916,1.004102248,1.011387753,1.002471131,1.012635996,0.999679607,0.986888649,1.119890938,1.033734203,1.013973358,1.021592745,1.022695557,1.171036348,1.036051238,1.002195959,1.018135053,0.970441196,0.908033875,1.033606696,0.975020519,1.026717,1.025391,1.008272,0.999155,0.991573,1.013823,1.018834,1.112247,1.068119,1.251462,1.090309,1.014522,1.080883,1.026043,1.050439,1.05322,1.068887,1.045326,1.098352,1.068284,1.068764,1.053099,0.827189,1.143085,1.10723,1.120078
1.151998,1.176441,1.27026,1.201591,1.368147,1.204063,1.226942,1.27073,1.170586,1.322622,1.377553,1.341329,1.262511,1.201403,1.245366,1.255987,1.310955,1.35478,1.24548,1.207314,1.242874,1.16323,1.305965,1.328291,1.230575,1.173578,1.316916,1.038511,1.063064,1.05141,1.001022,1.021167,1.092024,1.065792,1.246515,1.128812,1.16553,1.098072,1.070406,1.056325,1.071495,1.020596,1.030052,0.928305,0.9824,1.036585,1.100416,1.075391,0.972194,1.011867,0.996082,0.980891,0.862919,0.971579,0.986267,1.013797,1.019065,1.010027,1.028436,1.017366,1.055868,1.037585,1.057255,1.05003,1.047884,1.035855,1.04145,1.085604,1.047357,1.225306,1.048018,1.075839,1.088299,1.163573,1.058562,1.081361,1.059357,1.093076,1.128011,1.061552,1.118136,1.01843,1.02739,0.899939,1.015087,1.040093,1.028607,1.036627,1.035359,1.068225,1.039213,1.026598,1.118546,1.069558,1.052795,1.07846,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.03482,1.034699,1.045228,1.008739,1.008605,1.035747,1.063278,1.078277,0.932556,1.099328,1.046774,0.98771,1.105505,1.044307,1.0491,1.088574,1.084438,1.03885,1.091553,1.050919,1.07636,1.073183,0.830867,1.103562,1.134618,1.115247
